,baseline,coref,gpt,coref_gpt,percent_increase_coref,percent_increase_gpt,percent_increase_coref_gpt
narrator,4567,5480,5523,6605,19.991241515217865,20.932778629297133,44.62447996496606
reader,4028,4179,4988,4853,3.74875868917577,23.833167825223438,20.48162859980139
SO_male,320,1108,393,1278,246.25,22.8125,299.375
SO_female,69,524,92,601,659.4202898550725,33.33333333333333,771.0144927536231
SO_neutral,116,387,154,470,233.6206896551724,32.758620689655174,305.1724137931035
SO_any,505,2019,639,2349,299.8019801980198,26.534653465346537,365.1485148514852
ex_SO,257,570,469,816,121.78988326848248,82.49027237354085,217.50972762645912
friend,559,2403,694,2783,329.8747763864043,24.15026833631485,397.85330948121646
family,1668,4226,2145,5034,153.35731414868107,28.597122302158272,201.79856115107913
nurse,31,55,42,67,77.41935483870968,35.483870967741936,116.12903225806453
doctor,384,626,462,733,63.020833333333336,20.3125,90.88541666666666
therapist,207,401,239,454,93.71980676328504,15.458937198067632,119.32367149758454
medical_prof,665,1175,793,1355,76.69172932330827,19.248120300751882,103.7593984962406
ED,411,633,612,870,54.01459854014598,48.9051094890511,111.67883211678833
food,452,738,863,1199,63.27433628318584,90.929203539823,165.26548672566372
